Boro,Size,Latitude,Longitude
M,0.054,40.727124,-73.978677
M,0.043,40.796295,-73.947533
M,0.08,40.798976,-73.940376
M,0.054,40.729079,-73.983327
X,0.151,40.847216,-73.885018
M,0.031,40.723433,-73.980995
B,0.287,40.664706,-73.987554
M,0.171,40.724036,-73.980569
M,0.315,40.724031,-73.981986
B,0.114,40.683541,-73.915121
X,0.063,40.823065,-73.91645
Q,0.177,40.756409,-73.87122
M,0.39,40.725211,-73.977776
X,0.064,40.82513,-73.913329
B,0.249,40.659528,-73.906203
M,0.07,40.725347,-73.99132
B,0.064,40.694344,-73.946088
M,0.099,40.721396,-73.979916
B,0.103,40.683251,-74.003548
B,0.391,40.665633,-73.913605
B,0.05,40.693378,-73.946915
X,0.131,40.83652,-73.885069
X,0.054,40.852889,-73.901885
B,0.068,40.673772,-73.878795
M,0.051,40.72252,-73.990728
M,0.05,40.728307,-73.978864
Q,0.092,40.683535,-73.792211
Q,NA,40.689588,-73.803594
B,0.225,40.682842,-74.006259
X,0.066,40.870996,-73.884326
X,NA,40.84506,-73.898018
Q,NA,40.586066,-73.822624
B,NA,40.682166,-73.927115
X,0.1,40.856921,-73.884462
B,0.137,40.713449,-73.963827
B,0.043,40.669128,-73.889416
M,NA,40.802263,-73.944274
M,0.06,40.722296,-73.982048
X,NA,40.809829,-73.918667
B,0.14,40.685731,-73.971356
B,0.082,40.687133,-73.979674
B,0.057,40.681526,-73.961901
X,0.34,40.819878,-73.886951
B,0.168,40.668623,-73.889471
X,NA,40.851414,-73.918533
X,NA,40.835784,-73.928324
X,NA,40.836404,-73.905014
X,NA,40.832706,-73.926838
X,0.161,40.831035,-73.89477
M,0.066,40.810928,-73.948938
X,NA,40.848472,-73.888561
X,NA,40.840755,-73.881707
X,0.055,40.836575,-73.892817
M,0.119,40.727318,-73.977194
M,0.059,40.804436,-73.952746
B,0.069,40.676396,-73.984555
M,0.275,40.802632,-73.935399
X,0.119,40.814133,-73.910779
B,0.177,40.687514,-73.958923
B,0.112,40.681591,-73.925688
M,0.053,40.797308,-73.946792
M,0.057,40.802366,-73.94642
B,0.299,40.687548,-73.926979
M,0.11,40.729412,-74.006148
B,0.043,40.674214,-73.889148
X,0.19,40.834051,-73.910553
B,0.115,40.683943,-73.959033
X,0.033,40.835309,-73.908936
M,0.057,40.810959,-73.950928
B,0.057,40.674162,-73.884339
B,0.086,40.687639,-73.962648
B,0.165,40.688603,-73.954945
X,0.115,40.845858,-73.888049
M,0.35,40.762717,-73.991026
X,0.43,40.838033,-73.91027
M,NA,40.826069,-73.939785
M,0.058,40.72017,-73.984289
B,0.11,40.692238,-73.92181
B,0.057,40.674396,-73.887803
B,0.091,40.673887,-73.87789
X,0.179,40.845582,-73.880943
B,0.057,40.683411,-73.907424
B,0.16,40.684528,-73.910541
B,0.078,40.684311,-73.910725
Q,0.18,40.741788,-73.859801
X,0.171,40.822689,-73.91614
M,0.06,40.72511,-73.983119
X,NA,40.856775,-73.901518
Q,0.138,40.595964,-73.763133
Q,0.083,40.684574,-73.78111
B,0.073,40.684364,-73.984438
X,0.115,40.861379,-73.903254
M,0.066,40.725296,-73.979821
B,0.057,40.685985,-73.910265
X,0.126,40.815229,-73.902569
M,0.186,40.798107,-73.936371
M,0.119,40.729306,-73.979885
M,0.045,40.833766,-73.942217
M,0.252,40.802742,-73.935612
M,0.09,40.860412,-73.927936
M,0.106,40.725022,-73.979172
M,0.271,40.72438,-73.98138
M,NA,40.790817,-73.948859
X,0.208,40.812172,-73.920336
B,0.057,40.648198,-73.977358
M,0.142,40.796357,-73.934119
M,0.112,40.826462,-73.941811
X,0.116,40.8227,-73.912729
M,0.046,40.809753,-73.94231
X,0.17,40.820573,-73.909101
X,0.13,40.847974,-73.896315
M,0.057,40.794391,-73.9434
X,0.085,40.806094,-73.915774
X,0.085,40.806094,-73.915774
B,0.23,40.712385,-73.959633
