Borough,Latitude,Longitude
Brooklyn,40.700743,-73.949289
Brooklyn,40.722954,-73.957804
Brooklyn,40.691476,-73.989806
Brooklyn,40.714905,-73.968108
Brooklyn,40.687418,-73.977918
Manhattan,40.706996,-74.005544
Manhattan,40.704265,-74.006997
Manhattan,40.703347,-74.01373
Manhattan,40.7056,-74.015837
Manhattan,40.767961,-73.984574
Manhattan,40.728076,-73.997197
Manhattan,40.766509,-73.985054
Manhattan,40.766241,-73.991004
Manhattan,40.765361,-73.980881
Manhattan,40.761227,-73.978746
Manhattan,40.746511,-73.981075
Manhattan,40.764241,-73.979745
Manhattan,40.758474,-73.974097
Manhattan,40.742024,-73.986164
Manhattan,40.763413,-73.98042
Manhattan,40.742964,-73.98057
Manhattan,40.745895,-73.979288
Manhattan,40.74438,-73.975662
Manhattan,40.748002,-73.972838
Manhattan,40.758703,-73.969094
Manhattan,40.755827,-73.970114
Manhattan,40.747403,-73.971413
Manhattan,40.77073,-73.983133
Manhattan,40.769108,-73.981621
Manhattan,40.763016,-73.965078
Manhattan,40.776088,-73.960695
Manhattan,40.767374,-73.953867
Manhattan,40.780871,-73.956255
Manhattan,40.77861,-73.950797
Manhattan,40.775349,-73.9509
Manhattan,40.77588,-73.947885
Manhattan,40.772184,-73.949394
Queens,40.747058,-73.944064
Manhattan,40.710907,-74.001176
Manhattan,40.767289,-73.961762
Manhattan,40.756418,-73.975094
Staten Island,40.59183,-74.13974
Manhattan,40.762219,-73.969317
Manhattan,40.757849,-73.966795
Manhattan,40.750107,-73.973982
Manhattan,40.769696,-73.986888
Manhattan,40.775565,-73.949915
Manhattan,40.761349,-73.9694
Manhattan,40.764686,-73.982694
Manhattan,40.746328,-73.97272
Manhattan,40.752246,-73.974948
Manhattan,40.764339,-73.964081
Brooklyn,40.693222,-73.986719
Manhattan,40.761966,-73.978475
Manhattan,40.757948,-73.968763
Manhattan,40.759066,-73.961258
Staten Island,40.647158,-74.078641
Manhattan,40.705041,-74.008119
Manhattan,40.756268,-73.978242
Manhattan,40.78099,-73.951976
Manhattan,40.750874,-73.977756
Manhattan,40.765974,-73.982553
Manhattan,40.757231,-73.977022
Manhattan,40.703993,-74.011054
Manhattan,40.705662,-74.006168
Manhattan,40.770769,-73.981573
Manhattan,40.763253,-73.965768
Manhattan,40.76614,-73.956792
Manhattan,40.763886,-73.974991
Manhattan,40.708074,-74.01485
Manhattan,40.705269,-74.005515
Manhattan,40.752483,-73.96992
Manhattan,40.706362,-74.005129
Brooklyn,40.572811,-73.98806
Manhattan,40.76044,-73.96065
Manhattan,40.758398,-73.970037
Manhattan,40.762105,-73.973042
Manhattan,40.747129,-73.990281
Manhattan,40.709123,-74.00848
Manhattan,40.774875,-73.983233
Manhattan,40.754754,-73.985006
Manhattan,40.730071,-73.993444
Manhattan,40.753507,-73.979798
Manhattan,40.771115,-73.982837
Manhattan,40.706241,-74.008505
Manhattan,40.76394,-73.961457
Manhattan,40.729513,-73.991236
Manhattan,40.760167,-73.964228
Manhattan,40.753574,-73.998838
Brooklyn,40.699584,-73.987158
Manhattan,40.740536,-73.984335
Manhattan,40.766735,-73.956246
Manhattan,40.785636,-73.949661
Manhattan,40.744616,-73.97848
Manhattan,40.75056,-73.971256
Manhattan,40.753189,-73.971656
Manhattan,40.762943,-73.981276
Manhattan,40.781158,-73.946675
Manhattan,40.756625,-73.983349
Manhattan,40.782916,-73.978901
Manhattan,40.70741,-74.006932
Manhattan,40.745155,-73.971836
Manhattan,40.762107,-73.984702
Manhattan,40.765855,-73.952478
Manhattan,40.761271,-74.000466
Manhattan,40.758249,-73.975
Manhattan,40.763064,-73.979254
Manhattan,40.754635,-73.96906
Manhattan,40.756063,-73.963028
Manhattan,40.766067,-73.960813
Manhattan,40.705442,-74.001482
Manhattan,40.748093,-73.976866
Manhattan,40.769989,-73.983295
Manhattan,40.74921,-73.973675
Manhattan,40.758299,-73.967903
Manhattan,40.708374,-74.005634
Queens,40.739685,-73.8953
Manhattan,40.762575,-73.977778
Manhattan,40.746873,-73.979696
Manhattan,40.743838,-73.972537
Manhattan,40.766825,-73.984238
Manhattan,40.744476,-73.980112
Queens,40.733477,-73.864192
Manhattan,40.78426,-73.948251
Manhattan,40.76548,-73.961174
Manhattan,40.772677,-73.991804
Manhattan,40.761752,-73.969739
Manhattan,40.780796,-73.955598
Manhattan,40.777041,-73.963201
Manhattan,40.758202,-73.963359
Manhattan,40.78178,-73.946256
Manhattan,40.704676,-74.007581
Manhattan,40.704059,-74.009655
Manhattan,40.749981,-73.992132
Manhattan,40.773792,-73.989403
Manhattan,40.759977,-73.985507
Manhattan,40.717714,-74.002814
Manhattan,40.76378,-73.978976
Manhattan,40.75847,-73.961984
Manhattan,40.708346,-74.007199
Manhattan,40.759381,-73.982067
Manhattan,40.705277,-74.011047
Manhattan,40.7447,-74.00742
Manhattan,40.750285,-73.969853
Manhattan,40.747406,-73.983637
Manhattan,40.776333,-73.947163
Manhattan,40.712776,-74.009036
Manhattan,40.764811,-73.975409
Manhattan,40.774838,-73.957349
Manhattan,40.777261,-73.96315
Manhattan,40.773209,-73.981414
Manhattan,40.755138,-73.972442
Manhattan,40.7683,-73.956462
Manhattan,40.751263,-73.992374
Brooklyn,40.698099,-73.986566
Manhattan,40.75814,-73.983038
Bronx,40.833607,-73.884159
Manhattan,40.771028,-73.948828
Manhattan,40.757966,-73.976816
Manhattan,40.757899,-73.982519
Manhattan,40.762311,-73.973894
Manhattan,40.785564,-73.954948
Manhattan,40.751775,-73.970372
Manhattan,40.761768,-73.980027
Manhattan,40.755012,-73.971785
Manhattan,40.780411,-73.952254
Manhattan,40.725306,-74.005408
Manhattan,40.744912,-73.990989
Manhattan,40.747289,-73.97495
Manhattan,40.752087,-73.997957
Manhattan,40.76288,-73.980702
Brooklyn,40.701214,-73.935746
Manhattan,40.759152,-73.976082
Manhattan,40.702777,-74.010722
Manhattan,40.762669,-73.968262
Manhattan,40.756859,-73.97264
Manhattan,40.730499,-73.993076
Manhattan,40.757754,-73.972426
Manhattan,40.776028,-73.952651
Manhattan,40.752857,-73.970433
Manhattan,40.765474,-73.98147
Manhattan,40.755388,-73.97054
Manhattan,40.757098,-73.963125
Manhattan,40.762046,-73.980893
Manhattan,40.706021,-74.011787
Manhattan,40.706855,-74.013024
Manhattan,40.756057,-73.983866
Manhattan,40.756003,-73.964003
Manhattan,40.702892,-74.013878
Manhattan,40.742383,-73.986269
Manhattan,40.744458,-73.971941
Manhattan,40.77592,-73.950449
Manhattan,40.71097,-74.005677
Manhattan,40.757155,-73.984645
Manhattan,40.770898,-73.987797
Manhattan,40.709616,-74.013389
Manhattan,40.754825,-73.982848
Manhattan,40.817859,-73.958615
Manhattan,40.760886,-73.972133
Manhattan,40.70741,-74.004736
Manhattan,40.70276,-74.013301
Manhattan,40.772399,-73.979753
Manhattan,40.769943,-73.983711
Manhattan,40.715743,-74.00601
Manhattan,40.76043,-73.973277
Manhattan,40.777798,-73.982788
Manhattan,40.746892,-73.980165
Manhattan,40.757006,-73.966406
Manhattan,40.705244,-74.006755
Manhattan,40.70903,-74.006352
Brooklyn,40.686202,-73.978499
Queens,40.761235,-73.827713
Manhattan,40.708631,-74.014659
Manhattan,40.78468,-73.94924
Manhattan,40.744642,-73.986214
Manhattan,40.720865,-74.011003
Manhattan,40.784371,-73.950341
Manhattan,40.751581,-73.973331
Manhattan,40.758627,-73.986197
Manhattan,40.781993,-73.948325
Manhattan,40.76223,-73.986943
Manhattan,40.747774,-73.987874
Manhattan,40.758432,-73.98515
Manhattan,40.750812,-73.983336
Manhattan,40.761462,-73.973504
Manhattan,40.747242,-73.973221
Manhattan,40.733602,-73.981432
Manhattan,40.730068,-73.990168
Manhattan,40.796772,-73.946059
Manhattan,40.760198,-73.968094
Manhattan,40.766492,-73.952113
Manhattan,40.738442,-74.008596
Manhattan,40.783875,-73.946954
Brooklyn,40.688253,-73.978636
Manhattan,40.769708,-73.957403
Manhattan,40.703183,-74.009154
Manhattan,40.763609,-73.972435
Manhattan,40.764499,-73.964843
Manhattan,40.747756,-73.978378
Manhattan,40.735365,-73.985267
Bronx,40.814603,-73.889991
Manhattan,40.758664,-73.982399
Manhattan,40.748203,-73.974848
Manhattan,40.753821,-73.992669
Manhattan,40.71052,-74.00597
Manhattan,40.753406,-73.970259
Manhattan,40.753512,-73.968588
Manhattan,40.754194,-73.987566
Manhattan,40.783039,-73.956643
Manhattan,40.761514,-73.972039
Manhattan,40.76367,-73.976362
Manhattan,40.777876,-73.955231
Manhattan,40.75977,-73.976804
Manhattan,40.752748,-73.9741
Manhattan,40.762366,-73.965591
Manhattan,40.75737,-73.975394
Manhattan,40.770871,-73.984295
Manhattan,40.755596,-73.97137
Brooklyn,40.690409,-73.988771
Manhattan,40.758736,-73.960947
Manhattan,40.754219,-73.971406
Manhattan,40.762294,-73.975103
Manhattan,40.706485,-74.012274
Manhattan,40.704569,-74.008858
Manhattan,40.740794,-73.988889
Manhattan,40.755487,-73.956228
Manhattan,40.751336,-73.969239
Manhattan,40.739149,-73.982513
Manhattan,40.747028,-73.995362
Manhattan,40.773469,-73.952306
Manhattan,40.762913,-73.982525
Manhattan,40.778234,-73.946013
Manhattan,40.761276,-73.976742
Manhattan,40.775905,-73.955688
Manhattan,40.764521,-73.976167
Manhattan,40.75682,-73.981851
Manhattan,40.703809,-74.007693
Manhattan,40.707761,-74.014994
Manhattan,40.775276,-73.982637
Manhattan,40.709754,-74.010843
Manhattan,40.77681,-73.982543
Manhattan,40.755759,-73.963515
Manhattan,40.764775,-73.963557
Manhattan,40.707363,-74.008195
Manhattan,40.713709,-74.009801
Manhattan,40.745573,-73.988935
Manhattan,40.751588,-73.981752
Manhattan,40.755469,-73.976726
Manhattan,40.752936,-73.980741
Manhattan,40.778669,-73.954732
Manhattan,40.71451,-74.012236
Manhattan,40.766853,-73.955026
Manhattan,40.75908,-73.973646
Manhattan,40.779615,-73.95284
Manhattan,40.761347,-73.963184
Manhattan,40.764719,-73.97929
Bronx,40.817686,-73.913747
Manhattan,40.768894,-73.959721
Manhattan,40.754626,-73.974723
Manhattan,40.702153,-74.012021
Manhattan,40.758963,-73.967589
Manhattan,40.761036,-73.967924
Manhattan,40.762894,-73.970356
Manhattan,40.768406,-73.960545
Manhattan,40.745467,-73.978675
Manhattan,40.747198,-73.97246
Manhattan,40.775165,-73.950164
Manhattan,40.770262,-73.956691
Manhattan,40.702266,-74.010607
Manhattan,40.765124,-73.964391
Manhattan,40.70491,-74.006355
Manhattan,40.753191,-73.967065
Manhattan,40.745402,-73.982089
Manhattan,40.773206,-73.951638
Manhattan,40.76052,-73.982843
Manhattan,40.707121,-74.01183
Manhattan,40.763275,-73.977471
Manhattan,40.760894,-73.986092
Manhattan,40.756014,-73.974138
Brooklyn,40.694078,-73.982885
Manhattan,40.728482,-74.007923
Manhattan,40.760077,-73.974447
Manhattan,40.711209,-74.010219
Manhattan,40.804311,-73.93422
Manhattan,40.751063,-73.973866
Manhattan,40.757218,-73.969196
Manhattan,40.749317,-73.975924
Manhattan,40.748033,-73.978151
Queens,40.605717,-73.753022
Manhattan,40.776864,-73.952051
Manhattan,40.720604,-73.993499
Manhattan,40.752516,-73.967794
Manhattan,40.771515,-73.981407
Manhattan,40.751928,-73.978305
Manhattan,40.762812,-73.968648
Manhattan,40.762203,-73.96279
Manhattan,40.706542,-74.013266
Manhattan,40.765619,-73.979954
Manhattan,40.754935,-73.963696
Manhattan,40.757929,-73.986439
Manhattan,40.704226,-74.008198
Manhattan,40.708659,-74.007982
Manhattan,40.750965,-73.982199
Manhattan,40.743374,-73.983627
Manhattan,40.70865,-74.010117
Manhattan,40.744021,-73.97896
Manhattan,40.782666,-73.95031
Manhattan,40.770092,-73.964136
Manhattan,40.740247,-73.97964
Manhattan,40.782188,-73.956911
Manhattan,40.764241,-73.978496
Manhattan,40.75348,-73.972049
Manhattan,40.754712,-73.971092
Brooklyn,40.693812,-73.987992
Manhattan,40.775567,-73.983341
Manhattan,40.759813,-73.975317
Manhattan,40.759971,-73.981612
Manhattan,40.773327,-73.954245
Manhattan,40.746447,-73.97923
Manhattan,40.772792,-73.946952
Manhattan,40.728575,-74.009983
Manhattan,40.747329,-73.98486
Manhattan,40.751985,-74.001704
Manhattan,40.774012,-73.978139
Manhattan,40.779485,-73.956624
Manhattan,40.761165,-73.980533
Manhattan,40.706804,-74.005879
Brooklyn,40.583936,-73.950173
Manhattan,40.737289,-73.993043
Manhattan,40.715408,-74.012593
